dataset,method,n,coverage,all_zero_rate,hit_at_1,hit_at_3,hit_at_5,mrr
pog,set_direct_confidence,4000,0.9985,0.0,0.45493239859789686,0.7648973460190286,0.8783174762143214,0.6339542033382821
pog,graph_conditional_count,4000,1.0,0.0,0.46075,0.76025,0.868,0.6345060359816448
pog,graph_conditional_binary,4000,1.0,0.0,0.46075,0.76,0.8685,0.6344503406353246
pog,graph_raw_count,4000,1.0,0.0,0.45325,0.7495,0.86425,0.6275883480415542
pog,graph_raw_binary,4000,1.0,0.0,0.45325,0.7495,0.86475,0.6275428881909473
pog,graph_ppmi_count,4000,1.0,0.0,0.1005,0.31025,0.48325,0.2794191798934685
pog,graph_ppmi_binary,4000,1.0,0.0,0.1005,0.31,0.4845,0.2798450181537205
pog,text_centroid_similarity,4000,1.0,0.0,0.00775,0.02875,0.08675,0.09301807033572287
pog_dense,set_direct_confidence,5938,0.997473896934995,0.0,0.4654735775789296,0.7869322978220497,0.8750633125105521,0.6433649687647833
pog_dense,graph_conditional_count,5938,1.0,0.0,0.4503199730549006,0.7665880767935331,0.8511283260357022,0.6268049258930948
pog_dense,graph_conditional_binary,5938,1.0,0.0,0.44998315931289995,0.7665880767935331,0.8511283260357022,0.6266364074025409
pog_dense,graph_raw_binary,5938,1.0,0.0,0.42707982485685414,0.7322330751094644,0.835971707645672,0.604909893592383
pog_dense,graph_raw_count,5938,1.0,0.0,0.42707982485685414,0.7322330751094644,0.835971707645672,0.604909893592383
pog_dense,graph_ppmi_count,5938,1.0,0.0,0.09733917143819468,0.2930279555405861,0.4351633546648703,0.26735731106805477
pog_dense,graph_ppmi_binary,5938,1.0,0.0,0.09733917143819468,0.2926911417985854,0.4351633546648703,0.26933233812540175
pog_dense,lightgcn_bi_category_similarity,5938,1.0,0.0,0.06786796901313574,0.19282586729538564,0.30801616705961604,0.19728977129086656
pog_dense,text_centroid_similarity,5938,1.0,0.0,0.0005052206130010104,0.008083529808016167,0.02222970697204446,0.06442392112566826
