dataset,space,samples,gt_cos_mean,gt_cos_std,distractor_mean_cos_mean,distractor_max_cos_mean,gt_minus_distractor_mean,gt_rank_mean,hit_at_1,hit_at_3,gt_minus_distractor_max
pog,bi,8411,0.5092498336442195,0.45138861079092096,0.1432627619298451,0.8156664157358259,0.3659870717143744,3.963619070265129,0.19938176197836166,0.5021995006539056,-0.3064165820916064
pog,content,8411,0.7841455504225573,0.042834824806806254,0.7980763720061991,0.9081664932509719,-0.013930821583641699,5.470217572226846,0.04696231125906551,0.2510997503269528,-0.12402094282841458
pog,text,8411,0.6900649394912196,0.0746942935407705,0.7013360471453436,0.8696613089392861,-0.011271107654124046,5.35810248484128,0.059445963619070265,0.25882772559743195,-0.17959636944806642
pog_dense,bi,9185,0.4507785941750444,0.4808700126851727,0.34010485107556726,0.8727021961309174,0.11067374309947715,4.6731627653783345,0.1623298856831791,0.3713663581927055,-0.42192360195587303
pog_dense,content,9185,0.8054171526114059,0.03324631033664724,0.8269530535753716,0.9132476677502636,-0.021535900963965713,6.0446379967338055,0.029722373434948286,0.18889493739793142,-0.10783051513885764
pog_dense,text,9185,0.6950909089412648,0.05765293070912364,0.7465324556067571,0.8695644146667983,-0.05144154666549229,6.723244420250408,0.02090364725095264,0.12193794229722374,-0.17447350572553352
