signal,left_method,right_method,n,left_accuracy,right_accuracy,left_only,right_only,both_hit,both_fail,right_only_gt_in_top_tie_rate,right_only_gt_unique_top1_rate,right_only_pred_in_top_tie_rate,right_only_pred_unique_top1_rate,right_only_mean_gt_avg_rank,right_only_mean_pred_avg_rank
cooccurrence,base,co_occer_cf,250,0.336,0.556,19,74,65,92,1.0,0.8918918918918919,1.0,0.8918918918918919,1.385135135135135,1.385135135135135
cooccurrence,base,user_prefer_cf,250,0.336,0.38,23,34,61,132,0.8823529411764706,0.7058823529411765,0.8823529411764706,0.7058823529411765,2.338235294117647,2.338235294117647
cooccurrence,co_occer_cf,user_prefer_cf,250,0.556,0.38,61,17,78,94,0.47058823529411764,0.0,0.47058823529411764,0.0,4.882352941176471,4.882352941176471
user_pref,base,co_occer_cf,250,0.336,0.556,19,74,65,92,0.7972972972972973,0.20270270270270271,0.7972972972972973,0.20270270270270271,4.47972972972973,4.47972972972973
user_pref,base,user_prefer_cf,250,0.336,0.38,23,34,61,132,0.9117647058823529,0.5,0.9117647058823529,0.5,2.823529411764706,2.823529411764706
user_pref,co_occer_cf,user_prefer_cf,250,0.556,0.38,61,17,78,94,0.8235294117647058,0.35294117647058826,0.8235294117647058,0.35294117647058826,3.8529411764705883,3.8529411764705883
