split,n,llm_hit_rate,input_gt_top1_rate,input_gt_top3_rate,input_gt_mrr,input_gt_rank_mean,input_gt_sim_mean,input_neg_sim_mean,input_neg_sim_max_mean,input_gt_margin_vs_neg_mean_mean,input_gt_margin_vs_best_neg_mean,pred_is_input_semantic_top1_rate,pred_input_rank_mean,pairmean_gt_top1_rate,pairmean_gt_rank_mean,pairmean_gt_margin_vs_best_neg_mean,pairmax_gt_top1_rate,pairmax_gt_rank_mean,pairmax_gt_margin_vs_best_neg_mean,gt_to_distractor_sim_mean,gt_to_distractor_sim_max_mean
all,250,0.82,0.204,0.416,0.39117936507936507,4.504,0.08146899269521236,0.011008351463126018,0.20033547501266002,0.07046064133197069,-0.11886648266017437,0.20647773279352227,4.502024291497976,0.204,4.504,-0.05548337246477604,0.284,4.384,-0.06742623788118363,0.00408524392801337,0.19190158613026143
llm_hit,205,1.0,0.2146341463414634,0.43902439024390244,0.4047406116918313,4.385365853658537,0.09161795935616261,0.010841680152580233,0.19744484682635563,0.08077627921976695,-0.10582688761557021,0.2146341463414634,4.385365853658537,0.2146341463414634,4.385365853658537,-0.049197638071164854,0.3121951219512195,4.2439024390243905,-0.05683974794498304,0.0031115593831622748,0.18988126794376026
llm_miss,45,0.0,0.15555555555555556,0.3111111111111111,0.32940035273368606,5.044444444444444,0.03523481123977237,0.011767631877834599,0.2135038923058245,0.023467179843121105,-0.17826908230781555,0.16666666666666666,5.071428571428571,0.15555555555555556,5.044444444444444,-0.08411838470233811,0.15555555555555556,5.022222222222222,-0.11565358092387518,0.008520917965668357,0.2011052578687668
