split,n,llm_hit_rate,semantic_top1_rate,semantic_mrr,gt_rank_mean,gt_input_sim_mean,neg_input_sim_mean,neg_input_sim_max_mean,gt_margin_vs_best_neg_mean,gt_margin_vs_neg_mean_mean,pred_is_semantic_top1_rate,gt_to_distractor_sim_mean,gt_to_distractor_sim_max_mean
all,250,0.82,0.324,0.5243460317460317,3.26,0.7967768707275391,0.6942815381288528,0.8414907970428467,-0.044713926315307614,0.10249533259868622,0.336,0.6039339617490769,0.7702395544052124
llm_hit,205,1.0,0.36097560975609755,0.5652458381726675,2.9073170731707316,0.8070201042221814,0.691069034977657,0.8391138963583039,-0.03209379213612254,0.11595106924452432,0.36097560975609755,0.6014225956870288,0.7669274719750009
llm_miss,45,0.0,0.15555555555555556,0.33802469135802465,4.866666666666666,0.7501132514741685,0.7089162747065226,0.8523189001613193,-0.10220564868715075,0.04119697676764594,0.2222222222222222,0.6153746293650733,0.7853279299206204
