split,n,llm_hit_rate,input_gt_top1_rate,input_gt_top3_rate,input_gt_mrr,input_gt_rank_mean,input_gt_sim_mean,input_neg_sim_mean,input_neg_sim_max_mean,input_gt_margin_vs_neg_mean_mean,input_gt_margin_vs_best_neg_mean,pred_is_input_semantic_top1_rate,pred_input_rank_mean,pairmean_gt_top1_rate,pairmean_gt_rank_mean,pairmean_gt_margin_vs_best_neg_mean,pairmax_gt_top1_rate,pairmax_gt_rank_mean,pairmax_gt_margin_vs_best_neg_mean,gt_to_distractor_sim_mean,gt_to_distractor_sim_max_mean
all,250,0.328,0.132,0.344,0.3279492063492063,5.088,0.43406988310813904,0.4208691964745522,0.5521920310854912,0.013200686633586884,-0.11812214803695678,0.16,4.492,0.132,5.088,-0.10882880830764771,0.132,5.156,-0.1395649483203888,0.3838041940927506,0.5299022755622864
llm_hit,82,1.0,0.2804878048780488,0.5609756097560976,0.4772164150212931,3.817073170731707,0.47336113780010036,0.41714205901797224,0.5437048986190702,0.056219078782128125,-0.0703437610006914,0.2804878048780488,3.817073170731707,0.2804878048780488,3.817073170731707,-0.06412365360230934,0.25609756097560976,3.841463414634146,-0.08720991324360777,0.3835450051034369,0.5268202504006828
llm_miss,168,0.0,0.05952380952380952,0.23809523809523808,0.2550925925925926,5.708333333333333,0.4148920087942055,0.4226883945188352,0.5563345600274348,-0.007796385724629674,-0.14144255123322919,0.10119047619047619,4.821428571428571,0.05952380952380952,5.708333333333333,-0.1306491814376343,0.07142857142857142,5.7976190476190474,-0.16511919163167477,0.38393070300420123,0.5314065973673548
