split,n,llm_hit_rate,input_gt_top1_rate,input_gt_top3_rate,input_gt_mrr,input_gt_rank_mean,input_gt_sim_mean,input_neg_sim_mean,input_neg_sim_max_mean,input_gt_margin_vs_neg_mean_mean,input_gt_margin_vs_best_neg_mean,pred_is_input_semantic_top1_rate,pred_input_rank_mean,pred_to_gt_sim_mean,pred_to_other_candidate_sim_mean,pred_to_other_candidate_sim_max_mean,pred_margin_vs_best_other_candidate_mean,pairmean_gt_top1_rate,pairmean_gt_rank_mean,pairmean_gt_margin_vs_best_neg_mean,pairmax_gt_top1_rate,pairmax_gt_rank_mean,pairmax_gt_margin_vs_best_neg_mean,gt_to_distractor_sim_mean,gt_to_distractor_sim_max_mean
all,250,0.228,0.368,0.676,0.5613571428571429,3.048,0.5863565132915973,-0.03333372085168958,0.8317629764676094,0.6196902355924249,-0.24540646344423295,0.152,4.772,0.31156403793394566,0.008450433191843331,0.8908210145533085,-0.5792569766193628,0.368,3.048,-0.18260616317391395,0.468,2.884,-0.17164057743549346,-0.026880432933336123,0.8845488558858633
llm_hit,57,1.0,0.38596491228070173,0.631578947368421,0.5670008354218882,2.982456140350877,0.6023303119367674,-0.053507891156825055,0.7425537935474462,0.6558382045150849,-0.14022348402884968,0.38596491228070173,2.982456140350877,0.9999999937258268,-0.041701727465056536,0.8761167211229342,0.12388327260289275,0.38596491228070173,2.982456140350877,-0.040569103862109934,0.5263157894736842,2.6140350877192984,-0.032290835129587275,-0.041701727465056536,0.8761167211229342
llm_miss,193,0.0,0.3626943005181347,0.689119170984456,0.5596903528250678,3.0673575129533677,0.5816388629145264,-0.027375546201986352,0.8581097299725281,0.6090144105738154,-0.27647086669126325,0.08290155440414508,5.300518134715026,0.10824357430629163,0.023262211209684223,0.895163733338445,-0.7869201590321533,0.3626943005181347,3.0673575129533677,-0.2245549319862084,0.45077720207253885,2.9637305699481864,-0.21279568267609789,-0.022503159418786573,0.88703917547906
