split_setting,method,dataset,overall,1,2,3,4,5
fixed,BGRAPH,pog,0.5200 (130/250),0.4286 (3/7),0.4727 (52/110),0.5263 (50/95),0.6579 (25/38),
fixed,BGRAPH,pog_dense,0.5080 (127/250),0.0000 (0/1),0.4467 (67/150),0.6232 (43/69),0.5517 (16/29),1.0000 (1/1)
fixed,base,pog,0.4800 (120/250),0.2857 (2/7),0.4818 (53/110),0.4737 (45/95),0.5263 (20/38),
fixed,base,pog_dense,0.4200 (105/250),0.0000 (0/1),0.4067 (61/150),0.4203 (29/69),0.4828 (14/29),1.0000 (1/1)
old,BGRAPH,pog,0.3200 (80/250),0.3652 (42/115),0.2815 (38/135),,,
old,BGRAPH,pog_dense,0.4200 (105/250),,0.4204 (103/245),0.4000 (2/5),,
old,base,pog,0.3280 (82/250),0.2870 (33/115),0.3630 (49/135),,,
old,base,pog_dense,0.3360 (84/250),,0.3388 (83/245),0.2000 (1/5),,
